,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,date of arrival
0,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,65.0,0,Not_Canceled,2017-10-02
1,2,0,2,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,Not_Canceled,2018-11-06
2,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,60.0,0,Canceled,2018-02-28
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100.0,0,Canceled,2018-05-20
4,2,0,1,1,Not Selected,0,Room_Type 1,48,Online,0,0,0,94.5,0,Canceled,2018-04-11
5,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Online,0,0,0,115.0,1,Canceled,2018-09-13
6,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,Not_Canceled,2017-10-15
7,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,Not_Canceled,2018-12-26
8,3,0,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,Not_Canceled,2018-07-06
9,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,Not_Canceled,2018-10-18
10,1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,Not_Canceled,2018-09-11
11,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,Online,0,0,0,140.4,1,Not_Canceled,2018-04-30
12,2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88.0,0,Canceled,2018-11-26
13,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,Canceled,2018-11-20
14,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,94.5,2,Not_Canceled,2017-10-20
15,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,0,0,0,115.0,1,Canceled,2018-06-15
16,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,0,0,96.0,0,Not_Canceled,2017-10-05
17,2,0,1,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,96.0,1,Not_Canceled,2017-08-10
18,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,Canceled,2017-10-30
19,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72.0,0,Not_Canceled,2017-10-04
20,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,65.0,0,Canceled,2017-10-30
21,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,Not_Canceled,2018-11-25
22,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,Not_Canceled,2018-03-20
23,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,Not_Canceled,2018-10-13
24,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,Not_Canceled,2018-05-22
25,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,Not_Canceled,2018-04-28
26,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,Not_Canceled,2017-09-21
27,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,Canceled,2018-05-19
28,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,Canceled,2017-11-06
29,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,Not_Canceled,2017-09-17
30,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,Not_Canceled,2017-09-19
31,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,Not_Canceled,2018-11-13
33,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,Not_Canceled,2018-01-09
34,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,Not_Canceled,2018-10-07
35,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,Not_Canceled,2018-04-27
36,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,Canceled,2018-06-19
37,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,Not_Canceled,2017-10-17
38,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,Canceled,2018-11-19
39,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,Canceled,2018-07-30
40,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,Not_Canceled,2018-11-01
41,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,Not_Canceled,2018-06-21
42,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,Not_Canceled,2018-04-10
43,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,Canceled,2018-06-27
